,fecha_hora,altura,t_minutos,i_minutos,es_pleamar
216,26/04/21 00:01:00,0.65,80500.0,368.0,False
217,26/04/21 05:48:00,1.63,80847.0,347.0,True
218,26/04/21 13:40:00,0.48,81319.0,472.0,False
219,26/04/21 18:36:00,1.37,81615.0,296.0,True
220,27/04/21 01:02:00,0.54,82001.0,386.0,False
221,27/04/21 06:40:00,1.64,82339.0,338.0,True
222,27/04/21 14:35:00,0.51,82814.0,475.0,False
223,27/04/21 19:20:00,1.49,83099.0,285.0,True
224,28/04/21 02:02:00,0.45,83501.0,402.0,False
225,28/04/21 07:32:00,1.6,83831.0,330.0,True
226,28/04/21 15:24:00,0.56,84303.0,472.0,False
227,28/04/21 20:04:00,1.6,84583.0,280.0,True
228,29/04/21 03:05:00,0.37,85004.0,421.0,False
229,29/04/21 08:25:00,1.52,85324.0,320.0,True
230,29/04/21 16:09:00,0.61,85788.0,464.0,False
231,29/04/21 20:49:00,1.68,86068.0,280.0,True
232,30/04/21 04:13:00,0.32,86512.0,444.0,False
233,30/04/21 09:22:00,1.41,86821.0,309.0,True
234,30/04/21 16:51:00,0.67,87270.0,449.0,False
235,30/04/21 21:35:00,1.74,87554.0,284.0,True
236,01/05/21 05:22:00,0.29,88021.0,467.0,False
237,01/05/21 10:27:00,1.29,88326.0,305.0,True
238,01/05/21 17:32:00,0.72,88751.0,425.0,False
239,01/05/21 22:24:00,1.74,89043.0,292.0,True
240,02/05/21 06:28:00,0.28,89527.0,484.0,False
241,02/05/21 11:50:00,1.19,89849.0,322.0,True
242,02/05/21 18:12:00,0.76,90231.0,382.0,False
243,02/05/21 23:18:00,1.71,90537.0,306.0,True
244,03/05/21 07:33:00,0.29,91032.0,495.0,False
245,03/05/21 13:18:00,1.12,91377.0,345.0,True
246,03/05/21 18:57:00,0.8,91716.0,339.0,False
247,04/05/21 00:22:00,1.64,92041.0,325.0,True
248,04/05/21 08:36:00,0.3,92535.0,494.0,False
249,04/05/21 14:26:00,1.09,92885.0,350.0,True
250,04/05/21 19:52:00,0.83,93211.0,326.0,False
251,05/05/21 01:37:00,1.57,93556.0,345.0,True
252,05/05/21 09:39:00,0.33,94038.0,482.0,False
253,05/05/21 15:28:00,1.08,94387.0,349.0,True
254,05/05/21 21:03:00,0.85,94722.0,335.0,False
255,06/05/21 02:52:00,1.52,95071.0,349.0,True
256,06/05/21 10:41:00,0.36,95540.0,469.0,False
257,06/05/21 16:27:00,1.1,95886.0,346.0,True
258,06/05/21 22:31:00,0.83,96250.0,364.0,False
259,07/05/21 03:59:00,1.49,96578.0,328.0,True
260,07/05/21 11:42:00,0.4,97041.0,463.0,False
261,07/05/21 17:22:00,1.13,97381.0,340.0,True
262,07/05/21 23:55:00,0.77,97774.0,393.0,False
263,08/05/21 04:56:00,1.46,98075.0,301.0,True
264,08/05/21 12:38:00,0.44,98537.0,462.0,False
265,08/05/21 18:07:00,1.19,98866.0,329.0,True
266,09/05/21 00:57:00,0.7,99276.0,410.0,False
267,09/05/21 05:46:00,1.43,99565.0,289.0,True
268,09/05/21 13:25:00,0.49,100024.0,459.0,False
269,09/05/21 18:42:00,1.24,100341.0,317.0,True
270,10/05/21 01:44:00,0.64,100763.0,422.0,False
271,10/05/21 06:32:00,1.39,101051.0,288.0,True
